id,category_id,name,file_link,thumbnail,created_at,updated_at
dd29a5c0-6f1e-49b5-9064-e205636f9615,a3665f65-642f-4f92-920e-02fe598cb77f,Logical Reasoning,https://drive.google.com/file/d/1rOE8H6TE_MAWxoU4Li8lqbNxkMek4y3p/view?usp=sharing,https://lh3.googleusercontent.com/d/1rOE8H6TE_MAWxoU4Li8lqbNxkMek4y3p=s1024?authuser=0,2025-09-18 12:14:45.773825+00,2025-09-18 12:14:45.773825+00
de2ae0a2-2b59-446e-ab6b-0891d297838e,6598b469-7c8a-48ac-a2e2-904d3cf66f42,Graph Theory Short Notes,https://drive.google.com/file/d/1-nKgXuq4K3nwBH9a9k1wiuu1zLuaT-aG/preview,https://lh3.googleusercontent.com/d/1-nKgXuq4K3nwBH9a9k1wiuu1zLuaT-aG=s1024?authuser=0,2025-09-29 11:05:45.038167+00,2025-09-29 11:05:45.038167+00
de5906bc-9884-484a-92db-8cb8b8acfa0b,445e4c76-3eb9-4969-afd9-e9b942b072f2,TCS Prepinsta Aptitude (146 pages),https://drive.google.com/file/d/1lxAX9Y_SD13m5hXw0YLWyDwTQHloPaJO/view?usp=sharing,https://lh3.googleusercontent.com/d/1lxAX9Y_SD13m5hXw0YLWyDwTQHloPaJO=s1024?authuser=0,2025-09-18 12:17:23.112082+00,2025-09-18 12:17:23.112082+00
de5bdf40-5b4d-4687-8bb5-16a2f16e7319,846b7fcc-1ef4-4025-9907-b964f8a36797,PI Capgemini Computer Fundamentals,https://drive.google.com/file/d/1f2cbTXPqf49U6BwFqtH-SO8bQcMWYXuf/view?usp=sharing,https://lh3.googleusercontent.com/d/1f2cbTXPqf49U6BwFqtH-SO8bQcMWYXuf=s1024?authuser=0,2025-09-18 12:15:18.257733+00,2025-09-18 12:15:18.257733+00
deba523e-d06d-4144-ae44-96e3778237d6,8834bd83-d2e5-4d1d-be6b-ce5a6aca6d38,240 Java Interview Questions,https://drive.google.com/file/d/1hku3mlUIt33nwMQAFS5EZJlbLuT6aN7j/preview,https://lh3.googleusercontent.com/d/1hku3mlUIt33nwMQAFS5EZJlbLuT6aN7j=s1024?authuser=0,2025-09-29 11:04:05.730155+00,2025-09-29 11:04:05.730155+00
dec0d62f-25a5-443c-b5cb-358f00bfdc50,7046f6dc-993f-42b0-a247-0c2e27fe610e,TCS Technical Questions,https://drive.google.com/file/d/1HNIBun881dnvw-_HCHMyISoQMCbN-CNF/view?usp=sharing,https://lh3.googleusercontent.com/d/1HNIBun881dnvw-_HCHMyISoQMCbN-CNF=s1024?authuser=0,2025-09-18 12:17:38.405234+00,2025-09-18 12:17:38.405234+00
def0049b-745e-4a73-a264-196042f523a0,a54392db-87b4-48e3-9abb-539d44d03656,Software Engineering at Google,https://drive.google.com/file/d/1Q8TLzXVL910rCXoNo4r2jRrWCXvDlnXf/preview,https://lh3.googleusercontent.com/d/1Q8TLzXVL910rCXoNo4r2jRrWCXvDlnXf=s1024?authuser=0,2025-09-29 11:04:53.78694+00,2025-09-29 11:04:53.78694+00
df686794-0c56-49a3-922b-14b10d0fd0d7,023a0aa9-214e-483c-af6b-d86b28a39968,Data Structures Short Notes,https://drive.google.com/file/d/1-PsIDbWrW-XafKmQyixjXzoZdangKeUS/preview,https://lh3.googleusercontent.com/d/1-PsIDbWrW-XafKmQyixjXzoZdangKeUS=s1024?authuser=0,2025-09-29 11:06:07.47303+00,2025-09-29 11:06:07.47303+00
df74cd9f-3eea-4bd5-8699-d97e907fb5c3,da4def72-d7e9-48ca-a811-ed69abc9c74f,Complete RoadMap for GATE CSE 2022,https://drive.google.com/file/d/1p4fXjTlvozfLSuA8bQW-EfM8iQqzEBxU/preview,https://lh3.googleusercontent.com/d/1p4fXjTlvozfLSuA8bQW-EfM8iQqzEBxU=s1024?authuser=0,2025-09-29 11:05:23.651574+00,2025-09-29 11:05:23.651574+00
df835b9e-e1a2-443c-82d4-bcb7a5f65095,700a0815-9cff-4534-b3ac-9df25a697de7,Mphasis Placement Paper,https://drive.google.com/file/d/1bYeDQdC84r3MzzZ24PqcnhvtSPGVWqwv/view?usp=sharing,https://lh3.googleusercontent.com/d/1bYeDQdC84r3MzzZ24PqcnhvtSPGVWqwv=s1024?authuser=0,2025-09-18 12:16:43.649219+00,2025-09-18 12:16:43.649219+00
